"id","distratadas","entregues","quantidade","vigentes"
"70cc7ce6-93ac-4a37-ba14-97a96dbbedc6",0,403,403,0
"9ced8c1a-765e-49fa-a4d7-d37f09adb09f",0,495,495,0
"f56405ac-f37e-4cc0-8085-e535fd0b5e00",0,958,958,0
"0d962403-30de-4d4e-8889-d73d04f908a9",0,0,1444,1444
"20b3ca56-2931-4f6c-9fdf-093edc1da83c",0,0,800,800
"33ac8409-7f10-4e34-b798-4fc4db87487b",0,500,500,0
"194908c6-d708-4504-bfb5-49f8d8342196",0,102,102,0
"b07af988-d3da-4d18-88b7-3787e93da465",0,456,456,0
"b8309949-90b1-4781-a6f6-895eeef60729",0,384,384,0
"d89ba488-34f5-4294-a69f-2495094e4c8d",0,0,1344,1344
"7163b663-93e5-4da9-bb89-7697a4cd38da",0,648,648,0
"029f2489-d40a-4b15-808a-55438a92a7a3",0,237,237,0
"338255ec-7fd7-449e-95a3-c9a6fe37a7ed",0,496,496,0
"6ad27a2d-b5aa-4acd-843c-45b76a38128d",0,480,480,0
"b976fb61-2641-4739-b042-1dec417a8b07",0,496,496,0
"245baba7-82e8-41cf-9458-a5d9c71b317b",0,192,192,0
"99d6276e-b184-46ba-ab86-9cd827b21d0c",0,495,495,0
"75b1bfb2-af77-482c-98e1-858abc39da58",0,420,420,0
"384ad70e-e45a-4f52-9fd3-3e3824ed7a1e",0,224,224,0
"2c59edbb-b478-47ef-8907-8d8254b5298b",0,480,480,0
"31a85353-7e1b-42d5-a04c-363752886c5b",0,480,480,0
"7e000a01-a548-4dc4-875a-53653300519e",0,500,500,0
"c43ab427-c984-489c-9a9e-c64987aa8631",0,1024,1024,0
"63c5de8d-8184-4275-a63a-f09541d83b0a",0,220,220,0
"bcb42cfd-ef5d-40d2-adb2-4dd9a5068a56",0,304,304,0
"ce186432-3047-4693-aa91-b390344a90d8",0,496,496,0
"0534ee0c-f702-41ab-b7c4-619af737d5c2",0,224,224,0
"97bb2c37-db8a-4249-82f6-f2adb0f2e732",0,225,225,0
"3f346e71-4efd-41cb-9a01-b8ded48f77b3",0,240,240,0
"80075c33-708b-464c-beb5-415dada177a6",0,250,250,0
"015b3d60-3efd-49de-a870-ccd123b2977d",0,500,500,0
"2ca6da17-748d-454c-a180-164eb997d721",0,352,352,0
"83cca510-5d3b-424d-a512-d4d784575603",0,480,480,0
"5678ccc7-887d-431d-a2c7-cf404a32215f",0,444,444,0
"706dc289-3bcf-434f-8538-da515901ee01",0,512,512,0
"e8d00dcb-c345-44d4-bc85-341b5b9cfb00",0,0,701,701
"d5bfa9fd-cb1d-4ec0-a11c-79460f654724",0,360,360,0
"708dcbef-3186-4ed4-989f-b5e2751fdf75",0,531,531,0
"afd9967f-e4d1-402a-b1f0-167a1b1c8dab",1184,0,1184,0
"3f6b9e6b-f431-4feb-b581-01ebdaefda1e",0,1352,1352,0
"b4296f80-bc2b-4cb5-8bd6-83240c64a95a",0,496,496,0
"5733988b-d30a-4014-a68d-a19c7102c3df",0,499,499,0
"2dfa438f-3c20-4db8-b37d-a298c96a81a2",0,0,490,490
