"id","nome","regiao","uf"
"50bd79e2-f7f5-4ba9-ba8e-bdb449ec5e4a","GANDU","NORDESTE","BA"
"70ec0246-ec30-4ba6-a6d4-b0fad4058554","SANTA ROSA DO TOCANTINS","NORTE","TO"
"b6b2119f-4264-4483-80d9-99b5b67aaffc","SUCUPIRA DO RIACHÃO","NORDESTE","MA"
"1f254356-1cc9-4682-8d4d-169cbece1d41","VERA MENDES","NORDESTE","PI"
"8f4b4f8c-fbf9-419d-9a99-acea15b25186","RIACHINHO","NORTE","TO"
"3d51a9f0-17ed-4f75-82bf-d9fe4052298e","ANHANGUERA","CENTRO_OESTE","GO"
"6c0c758a-e437-4d76-8c59-c1a48143d06d","SANTA MARIA DA SERRA","SUDESTE","SP"
"d3743ab6-1f23-42a5-af6f-56f3292d0416","AROEIRAS DO ITAIM","NORDESTE","PI"
"8c06345a-4616-4e4c-a1f2-d01d4c90b411","ERERÊ","NORDESTE","CE"
"08764286-e3a4-44ae-a28c-85b14421c0ca","LUZ","SUDESTE","MG"
"f22cafd5-9b79-4bc4-a7b9-cbea981c609b","BREJINHO","NORDESTE","RN"
"3c45dfdd-7871-4c0e-8ef3-bba934ca5a3c","IBARETAMA","NORDESTE","CE"
"2f7f6af0-14ee-4301-811b-b6b1b5bc9ffa","SERRA DE SÃO BENTO","NORDESTE","RN"
"d4796928-ac8b-4eb1-8e1e-a5c7529aff7c","PEDRA MOLE","NORDESTE","SE"
"f89931e1-c59b-4913-8f64-44ad829ffe34","GRAÇA ARANHA","NORDESTE","MA"
"2739a605-a1dc-465d-b44f-a42e18ac7a30","BALNEÁRIO ARROIO DO SILVA","SUL","SC"
"28e04ba4-5b1f-4f15-b4d2-c4999cf44220","TRACUNHAÉM","NORDESTE","PE"
"5ae33cec-0192-483c-b0b5-d96eee7c425d","FEIRA NOVA","NORDESTE","PE"
"bee26c97-a320-40da-8d46-1ef8dee3c7c4","GENERAL CARNEIRO","CENTRO_OESTE","MT"
"6754c407-dd8a-4a9f-ad32-faa90005f8fe","LAGOA DE DENTRO","NORDESTE","PB"
"9e8824e1-3cfe-49a1-b17a-77f837b9b388","BREJOLÂNDIA","NORDESTE","BA"
"f4736e22-24dc-4682-a2bb-735b641dea13","PORTALEGRE","NORDESTE","RN"
"30b85702-f81d-4574-82ea-e29aad83d33a","SÃO GABRIEL","NORDESTE","BA"
"e0f46edf-b1a0-428c-ae4f-b2c5a763d0bc","PACAJÁ","NORTE","PA"
"0551bb88-8d29-4b2f-b710-994b966d5e9b","PONTES E LACERDA","CENTRO_OESTE","MT"
"ddd1eb19-086a-4af1-b35d-78ef513d15fd","DAVINÓPOLIS","NORDESTE","MA"
"8fa6738c-6dff-410a-8a35-040b8e6c06e9","BAEPENDI","SUDESTE","MG"
"a82dc78c-fd73-4717-b380-0efdb8cf8712","BURITI ALEGRE","CENTRO_OESTE","GO"
"8f9dbe81-2506-42e6-a621-5c1db033f492","WENCESLAU GUIMARÃES","NORDESTE","BA"
"3c991bdc-a09b-4e98-a84d-2be55827225b","CORONEL JOÃO SÁ","NORDESTE","BA"
"9be3994e-6ab3-4f83-beab-80139252c00b","PEIXE-BOI","NORTE","PA"
"735adc1f-1a1e-4bfd-abc0-ce281f4a0bdf","COCOS","NORDESTE","BA"
"bdb87268-227e-466c-9a74-ad7ae4d2552f","POMPÉIA","SUDESTE","SP"
"a6d55d55-9357-4b96-a4c4-0fed428e5266","RIO DE CONTAS","NORDESTE","BA"
"9602a078-9770-441b-99fc-7ad6086b6b27","RIACHÃO","NORDESTE","PB"
"631b18fd-0dc2-4c29-9518-7a2d336304a8","BOMBINHAS","SUL","SC"
"f163a4b2-61dd-46bb-b394-b14f9179b920","PARANÃ","NORTE","TO"
"6d256483-a8af-497d-be06-53bc260b9b27","MONTADAS","NORDESTE","PB"
"0d172b35-1f41-48b4-867f-49388cf13b0b","TENENTE ANANIAS","NORDESTE","RN"
"09ead7c0-0aa8-4f95-892a-da7901db19a6","PALMEIRA D'OESTE","SUDESTE","SP"
"24d5a4f7-71ec-4dfc-83e3-e22720de952b","CAMPOS BELOS","CENTRO_OESTE","GO"
"7da38349-4f08-405b-abf7-644aecce8f21","NOVO ORIENTE DO PIAUÍ","NORDESTE","PI"
"2503fdd4-aec7-44a1-83cc-43aadd0fa2c8","MATRIZ DE CAMARAGIBE","NORDESTE","AL"
"b704dd42-3cfe-4e3c-bcb2-fec88dd4739c","CATINGUEIRA","NORDESTE","PB"
"a9efe67a-c5aa-4a5f-8c8b-792f24be1627","CABACEIRAS DO PARAGUAÇU","NORDESTE","BA"
"dadda476-6f83-4bd4-b39a-5d25e449e8d1","BOA VISTA","NORDESTE","PB"
"3adebaf3-e03d-4432-acc1-1f90f4e2a90c","IRACEMA","NORTE","RR"
"750db77d-487e-4982-8d6e-eec87babc1c7","MASCOTE","NORDESTE","BA"
"5657dc96-bfbc-4346-91f5-8856c6292c9d","MULUNGU DO MORRO","NORDESTE","BA"
"6a29ac8f-86bc-4552-a6e0-783f689624e9","GOVERNADOR EUGÊNIO BARROS","NORDESTE","MA"
"46d08853-4a44-4454-a141-f158edda399d","PIRANGUINHO","SUDESTE","MG"
"d2e9647a-8512-4e98-906f-b1ff221d6f35","BRASILÂNDIA DO TOCANTINS","NORTE","TO"
"5c023faa-2ac5-44c8-beca-a02a9348a182","BOM JESUS DA SERRA","NORDESTE","BA"
"b9a7509f-ca27-4c7d-bb5e-7b1818f1d881","INACIOLÂNDIA","CENTRO_OESTE","GO"
"7914a228-3aee-4c6a-925a-f624a0eafc44","PAUINI","NORTE","AM"
"cbde03c8-2e22-412d-a48d-ae2e477ed04e","CAMANDUCAIA","SUDESTE","MG"
"e83f72d1-ee7e-4af0-85e1-78984b03a9b5","SÃO FRANCISCO DE SALES","SUDESTE","MG"
"3a544d1c-6a25-420e-a6e1-7300afc6a80c","ILHA COMPRIDA","SUDESTE","SP"
"4d870bb0-dbd9-41cf-a6c8-ebc404bbf572","CARAÚBAS DO PIAUÍ","NORDESTE","PI"
"4ebef4bf-82fc-4e42-958d-59fcb7ad1316","TOCANTINÓPOLIS","NORTE","TO"
"a198c345-41bf-4029-ac45-4c4f48a1b1c4","TERRA NOVA","NORDESTE","PE"
"8c5ca9df-c876-4972-aaed-e4b3ddea5264","NOVO PROGRESSO","NORTE","PA"
"40ddb05f-f075-4fb4-82a4-08112d27b593","IUIÚ","NORDESTE","BA"
"53a66af4-8800-43f1-b1ee-c16add14c098","SANTA FÉ DE MINAS","SUDESTE","MG"
"b6bc46f9-5af8-4429-a9c4-1259ec902616","NOVA OLINDA DO NORTE","NORTE","AM"
"db262691-86bb-4a8b-a36d-9ce51026995c","CASSERENGUE","NORDESTE","PB"
"cd1f0d95-d486-4517-a80b-a26fa8fbc3fe","ARATUBA","NORDESTE","CE"
"4c6b8c3b-b811-4304-9129-b4bdea78de76","ÉRICO CARDOSO","NORDESTE","BA"
"cb1f7cd6-6421-4dd2-97d2-768817708dc3","FIGUEIRÓPOLIS","NORTE","TO"
"b2566747-5cc5-474d-879d-d685bc6d5a9a","ALCANTIL","NORDESTE","PB"
"36b325e2-d5b5-4d32-89ad-e5e5db49f9d5","ITINGA DO MARANHÃO","NORDESTE","MA"
"400ae121-3fd4-434a-8eac-ea3694ac09bb","PENDÊNCIAS","NORDESTE","RN"
"12af42f8-76e4-454f-a82f-d58f0fb738d2","AFONSO CUNHA","NORDESTE","MA"
"517e8ef4-3f43-4d6c-b3f2-8d6a0ad753d8","PEDRA BRANCA DO AMAPARI","NORTE","AP"
"286cd83a-f000-4771-9ae1-7aebb5d42924","PASSO DE TORRES","SUL","SC"
"a6c25e82-2957-4fbf-b170-fac8d76a0316","TAPEROÁ","NORDESTE","PB"
"19e3b39c-1c27-4a4f-8a0f-4169b375398d","TAPIRA","SUDESTE","MG"
"c8855438-c3b7-424c-b2d2-37badb725217","ITALVA","SUDESTE","RJ"
"6447fca8-d891-445e-b6e9-e3fc23a628ab","NILO PEÇANHA","NORDESTE","BA"
"eeb5f88c-f8b7-411e-bace-f834dcbe9862","VÁRZEA","NORDESTE","RN"
"af8cdac3-242d-476c-83c6-ce1074c419db","ALAGOA NOVA","NORDESTE","PB"
"bd2dba48-3b39-4918-afc6-4ee53b059f8e","SOBRÁLIA","SUDESTE","MG"
"bb945f0e-c826-4bd6-ad99-af8703f0cdbc","LAMBARI D'OESTE","CENTRO_OESTE","MT"
"9bafa521-4d62-4fc2-9a22-49c7c38e463b","PALMEIRAS DO TOCANTINS","NORTE","TO"
"864a5d62-3dea-4a5a-91d8-1f89dd0ff61e","CAROLINA","NORDESTE","MA"
"ca33a148-f10e-4f52-bd6d-4a452f7bb1ca","SANTANA","NORDESTE","BA"
"5fad7285-f0f1-4451-9ef8-c9c5bf510579","SÃO MIGUEL DO FIDALGO","NORDESTE","PI"
"651425ce-5aef-4bb9-9dcc-a000c35e93b5","ITAIPULÂNDIA","SUL","PR"
"9cd8b8bb-1cbc-4edb-87ec-bed88cf05e1c","QUIXABÁ","NORDESTE","PB"
