"id","bairro","cep","logradouro","numero","texto","tipo_logradouro","fk_municipio"
"7bc87b70-c5b9-468f-99f7-ed17353eeb25","SEM BAIRRO","69059500","RUA SAMAMBAIA 1319 SANTA ETELVINA","1319","RUA SAMAMBAIA 1319 SANTA ETELVINA","RUA","2e70a55f-5882-4863-9774-d9c4882f15ab"
"dfc8ce07-775f-42a4-9d92-b495d397395f","SEM BAIRRO","69000000","AVENIDA JOSE HENRIQUE BENTO RODRIGUES N.4711 MONTE DAS OLIVEIRAS","4711","AV JOSE HENRIQUE BENTO RODRIGUES N.4711 MONTE DAS OLIVEIRAS","AVENIDA","2e70a55f-5882-4863-9774-d9c4882f15ab"
"82aba412-1df2-4303-8c64-9ee9aa7d1556","SEM BAIRRO","69900000","ESTRADA DE PORTO ACRE","1","ESTRADA DE PORTO ACRE, AC 10, KM 1","ESTRADA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"44a9a317-42d6-4788-8186-e0686f5c7af4","SEM BAIRRO","69900000","LOTE ROSA LINDA","03","LOTEAMENTO ROSA LINDA, BR-364, KM 03","LOTE","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"0a4bc9d6-ae41-4fda-833c-a797205075ba","SEM BAIRRO","69900000","ESTRADA DO CALAFATE","S/N","ESTRADA DO CALAFATE, S/N","ESTRADA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"cde48c0c-4f1c-44e4-af07-25bf4bf47c2b","SEM BAIRRO","DESCONHECIDO","RUA TATAUBA","S/N","RUA TATAUBA, S/N -  ESTRADA JARBAS PASSARINHO","RUA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"582c6b24-6a51-4e98-a77e-be7f3c1d2c04","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"a53af663-24e7-43a6-acf7-56d7d4637781","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","2f455879-60fe-49e5-90dc-dbbfa30c1e0e"
"0ffc6976-fd87-402e-94c0-67df0e1fd5f7","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","2e70a55f-5882-4863-9774-d9c4882f15ab"
"bd56a38c-567c-4019-9067-d4bd4b068542","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","2e70a55f-5882-4863-9774-d9c4882f15ab"
"1a066e14-9d01-4da4-a934-42a9c97c496a","SEM BAIRRO","69730000","AVENIDA JOAO TIBURTINO DA SILVA S/N","S/N","AV JOAO TIBURTINO DA SILVA S/N","AVENIDA","dcd29121-18ae-495b-9992-4ca5aba5b2ed"
"47985514-75bd-4478-af15-a8e36380ebb1","SEM BAIRRO","69240000","ESTRADA AZ1 LOTE I","S/N","ESTRADA AZ1 LOTE I","ESTRADA","a0300286-4edd-4a52-8ce3-b1bd6ccde62c"
"ec5e91af-1b86-4da8-bf17-51a03dc64d15","SEM BAIRRO","69025000","AVENIDA MANOEL GADELHA S/N SEBASTIAO  BORGES","S/N","AV MANOEL GADELHA S/N SEBASTIAO  BORGES","AVENIDA","a64d2dab-eb7f-439c-bd1c-99ae46e99c21"
"e3ac27fc-f563-4139-99cd-1237aca7301a","SEM BAIRRO","69640000","ESTRADA COARI MAMIA KM 2 S/N","S/N","ESTRADA COARI MAMIA KM 2 S/N","ESTRADA","dc272b17-9d76-425c-adeb-bc50171573fa"
"20c26b14-39ff-4bdf-8156-0bf55020b820","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","ba0490df-f2c4-4777-a4b3-daac0343cd51"
"5bcfe29a-9f14-4eac-8d07-92dd52f31a0a","BAIRRO PORANGA","69100970","ESTRADA DO AEROPORTO S/N KM01","S/N","ESTRADA DO AEROPORTO S/N KM01 - BAIRRO PORANGA","ESTRADA","c57da1af-bca3-4b61-ba4f-558acd16821e"
"f6a9ebbf-ae53-4651-8250-5e9bf2249680","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","c57da1af-bca3-4b61-ba4f-558acd16821e"
"a4b290e5-ab51-4a00-8e7a-93c353c97dcd","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","c57da1af-bca3-4b61-ba4f-558acd16821e"
"b4f0d5eb-afd7-4504-b7c0-ceddf5578036","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","c57da1af-bca3-4b61-ba4f-558acd16821e"
"669a0382-a4a3-413b-8195-eaf608ab0d60","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","1fd2b297-3c18-4bbb-9dd1-c1923a708ad3"
"2e9d6545-0e64-4452-aee3-9be090d9a8c9","SEM BAIRRO","69400000","RODOVIA MANOEL URBANO KM 82","070","RODOVIA MANOEL URBANO KM 82, AM 070","RODOVIA","f35844d2-2bd3-46bb-aff1-5287f67a777d"
"078c1996-729c-4f21-86ac-20f586870c55","SEM BAIRRO","69400000","ESTRADA MANACAUPURU AIRAO","S/N","ESTRADA MANACAUPURU AIRAO","ESTRADA","f35844d2-2bd3-46bb-aff1-5287f67a777d"
"cdcbcd56-b69f-4da5-8865-359685a30d71","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","b4698092-daaf-4712-8f9e-3edf12bcc585"
"99905fd5-2c55-4b0f-83c3-947daada950f","SEM BAIRRO","69151270","ESTRADA MACURANY S/N","S/N","ESTRADA MACURANY S/N","ESTRADA","14daa102-0032-4892-80bf-252c2062ff91"
"294cf148-47a9-43f2-848d-1e93cf053e71","SEM BAIRRO","69114000","RUA 14","14","RUA 14 - GOV PLINIO COELHO - SILVES/AM","RUA","e3e691df-0aef-4225-8a5e-803327e010b3"
"c4fb787c-6f29-47d4-99f0-23a9c20f70df","SEM BAIRRO","66815555","ESTRADA DO OUTEIRO S/N","S/N","ESTRADA DO OUTEIRO S/N","ESTRADA","d9208601-a619-47b1-926b-cd82c33d978b"
"18e54d65-a877-4155-ae24-8ab10d2d3caf","SEM BAIRRO","DESCONHECIDO","LOTE RESIDENCIAL MA. HELENA COUTINHO","2","LOTEAMENTO RESIDENCIAL MA. HELENA COUTINHO, TRAVESSA WE-2","LOTE","d9208601-a619-47b1-926b-cd82c33d978b"
"b7cfeb17-4894-41b0-b324-55b506dc1aa2","SEM BAIRRO","DESCONHECIDO","RUA 6A. LINHA COM A RUA LARANJEIRA","S/N","RUA 6A. LINHA COM A RUA LARANJEIRA, RES. HELENA COUTINHO","RUA","d9208601-a619-47b1-926b-cd82c33d978b"
"122287fe-edf0-49c2-bb16-c542c0e35496","SEM BAIRRO","66000000","RUA CANARIO DO REINO SN","S/N","RUA CANARIO DO REINO SN","RUA","d9208601-a619-47b1-926b-cd82c33d978b"
"01dde033-98dc-4201-b1c3-07315cc14f86","SEM BAIRRO","DESCONHECIDO","RUA EVANDRO BONNA S/N","S/N","RUA EVANDRO BONNA S/N","RUA","d9208601-a619-47b1-926b-cd82c33d978b"
"35c769ca-a854-4c41-9d73-1d57942a3468","SEM BAIRRO","DESCONHECIDO","RUA DAS LARANJEIRAS N. 549","549","RUA DAS LARANJEIRAS N. 549","RUA","d9208601-a619-47b1-926b-cd82c33d978b"
"4a95f025-fefc-4f72-ad9a-49a33301bca7","SEM BAIRRO","66000000","RUA DO RANARIO","S/N","RUA DO RANARIO, SEM NUMERO","RUA","d9208601-a619-47b1-926b-cd82c33d978b"
"d987660b-97f6-440f-8918-926dbc577aee","SEM BAIRRO","DESCONHECIDO","ESTRADA DO MARACACUERA S/N","S/N","ESTRADA DO MARACACUERA S/N","ESTRADA","d9208601-a619-47b1-926b-cd82c33d978b"
"1e638a55-31be-46b2-bf1d-b877c72df305","SEM BAIRRO","66816000","RODOVIA ARTHUR BERNARDES KM 07","07","RODOVIA ARTHUR BERNARDES KM 07","RODOVIA","d9208601-a619-47b1-926b-cd82c33d978b"
"a134b308-6397-4f92-a989-104ce3a7dd7a","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","d9208601-a619-47b1-926b-cd82c33d978b"
"c79764b8-ed28-4276-b5d6-a7219edf2306","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","d9208601-a619-47b1-926b-cd82c33d978b"
"3b956625-a6dd-4ea1-a635-4728658a5842","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","ca0b2c11-c8f7-4037-af37-8fa349945b22"
"f4fc1615-59c9-4ae6-8169-f236dd0cf54f","SEM BAIRRO","66815285","ESTRADA DO MARACACUERA KM 4 E 5","5","ESTRADA DO MARACACUERA KM 4 E 5","ESTRADA","d9208601-a619-47b1-926b-cd82c33d978b"
"6fc278b1-f160-46b8-b3b2-b41ce81e6f24","SEM BAIRRO","66815555","ESTRADA DO MARACACUERA KM 4","4","ESTRADA DO MARACACUERA KM 4","ESTRADA","d9208601-a619-47b1-926b-cd82c33d978b"
"e6e3ea28-ef7d-4230-9e4a-97759a74e04c","SEM BAIRRO","DESCONHECIDO","RUA PEDRO VINAGRE","S/N","RUA PEDRO VINAGRE","RUA","aa20e415-5892-4a29-9b8c-375dc1f9c3f4"
"77e35f57-29a0-435e-a55f-629ab9bda272","SEM BAIRRO","68200000","TRAVESSA DA VIUVA","S/N","TRAV DA VIUVA","TRAVESSA","7cd10cb9-7436-4120-b03e-239552f92df3"
"5ac190ce-9395-4338-8db4-e3fb6be5328c","SEM BAIRRO","DESCONHECIDO","ESTRADA DO CURUMIM","S/N","ESTRADA DO CURUMIM - PRAIA ALENQUER","ESTRADA","7cd10cb9-7436-4120-b03e-239552f92df3"
"797f2462-d489-4120-b013-31da22fa779f","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","d7461adf-d604-4f6b-b4dc-3c9f096f4b4a"
"7feefd38-008a-4065-9300-a943718134f3","SEM BAIRRO","68371970","RODOVIA PA 415","415","RODOVIA PA 415 - ERNESTO ACIOLE","RODOVIA","d7461adf-d604-4f6b-b4dc-3c9f096f4b4a"
"a4df8a74-fd94-434d-aa1a-0410a669a11f","SEM BAIRRO","DESCONHECIDO","RUA RAMAL DO AEROPORTO SN","S/N","RUA RAMAL DO AEROPORTO SN","RUA","ca0b2c11-c8f7-4037-af37-8fa349945b22"
